GeneID,CTRL1,CTRL2,SAMPLE1,SAMPLE2
ENSG00000197312,735,754,633,799
ENSG00000284748,2,4,3,4
ENSG00000272078,50,33,0,34
ENSG00000173660,1687,1575,1916,2047
ENSG00000224592,44,28,4,16
ENSG00000233728,0,0,0,0
ENSG00000230451,0,0,0,0
ENSG00000231606,2,8,0,1
ENSG00000215900,0,0,0,0
ENSG00000284632,3,0,0,1
ENSG00000241014,13,5,23,26
ENSG00000054118,4410,4138,5172,4759
ENSG00000254553,0,0,0,0
ENSG00000284653,0,0,0,0
ENSG00000237749,0,1,6,2
ENSG00000276747,0,0,0,0
ENSG00000284705,0,0,0,1
ENSG00000228776,0,0,0,0
ENSG00000159339,0,0,0,0
ENSG00000197982,808,690,836,997
ENSG00000261781,0,1,0,0
ENSG00000183317,188,279,2,287
ENSG00000183386,300,417,676,605
ENSG00000284743,0,0,0,0
ENSG00000158315,10,17,9,11
ENSG00000204084,525,534,581,525
ENSG00000186973,22,5,11,12
ENSG00000146463,3723,3575,2953,3828
ENSG00000183520,771,707,919,889
ENSG00000271741,0,0,0,0
ENSG00000214141,0,2,0,1
ENSG00000142686,717,431,1038,641
ENSG00000224751,1,2,3,1
ENSG00000117148,0,0,1,0
ENSG00000230585,1,0,3,0
ENSG00000117000,1228,1447,1128,1495
ENSG00000284989,0,0,0,0
ENSG00000231630,0,0,0,0
ENSG00000092853,995,398,182,448
ENSG00000255811,0,0,0,0
ENSG00000134697,1125,1239,1286,1330
ENSG00000187513,0,0,3,0
ENSG00000238145,0,0,0,0
ENSG00000225142,0,0,0,0
ENSG00000230138,0,0,0,0
ENSG00000223390,2,2,4,1
ENSG00000284720,0,0,0,0
ENSG00000225671,0,0,0,0
ENSG00000116151,304,236,284,386
ENSG00000226147,0,0,2,0
ENSG00000006555,2,0,4,2
ENSG00000236111,1,0,2,0
ENSG00000066056,5,52,311,15
ENSG00000214114,149,117,158,146
ENSG00000116544,387,377,49,423
ENSG00000231900,0,0,0,2
ENSG00000236723,3,7,6,2
ENSG00000232467,0,0,0,0
ENSG00000117016,4067,4724,1344,4840
ENSG00000121310,223,85,2106,380
ENSG00000169213,2972,2820,1098,1980
ENSG00000163866,641,513,487,566
ENSG00000225779,1,4,0,0
ENSG00000284601,0,0,2,0
ENSG00000237130,0,0,0,0
ENSG00000143001,1,1,1,1
ENSG00000227416,0,1,2,0
ENSG00000232335,0,0,0,0
ENSG00000260971,6,6,7,8
ENSG00000259832,0,0,0,0
ENSG00000284696,0,0,0,0
ENSG00000238242,2,1,3,3
ENSG00000285839,0,0,0,0
ENSG00000237290,6,10,2,3
ENSG00000232762,1,3,0,3
ENSG00000117419,1128,1060,1006,1426
ENSG00000162384,683,709,722,955
ENSG00000162391,0,0,1,5
ENSG00000174348,37,26,539,254
ENSG00000117859,2632,2516,2340,2474
ENSG00000228121,0,0,2,0
ENSG00000253313,0,0,0,0
ENSG00000162396,110,102,160,170
ENSG00000203995,39,7,26,49
ENSG00000284686,1,3,3,0
ENSG00000162378,2148,2246,1520,2151
ENSG00000233079,0,0,5,4
ENSG00000259818,8,8,6,5
ENSG00000229444,0,0,0,1
ENSG00000240563,98,242,253,362
ENSG00000234318,0,1,0,0
ENSG00000284773,14,14,65,39
ENSG00000234481,0,0,0,0
ENSG00000117862,133,106,116,191
ENSG00000235612,0,0,0,0
ENSG00000228369,2,1,0,2
ENSG00000183431,2345,2357,2131,2112
ENSG00000227485,0,0,0,0
ENSG00000224609,19,17,34,25
ENSG00000235545,31,37,38,42
ENSG00000236646,0,0,0,0
ENSG00000232198,0,0,0,0
ENSG00000238063,1,0,0,0
ENSG00000227104,0,0,0,0
ENSG00000243725,16,20,24,22
ENSG00000171872,0,0,2,0
ENSG00000162407,1295,1780,9760,5359
ENSG00000285079,0,0,0,0
ENSG00000169218,494,366,77,836
ENSG00000163877,428,432,437,519
ENSG00000228929,7,17,17,11
ENSG00000224570,0,0,0,0
ENSG00000224980,0,0,0,0
ENSG00000278967,2,4,0,6
ENSG00000157184,202,244,173,179
ENSG00000198815,1895,1699,2089,2373
ENSG00000134744,3024,3625,2871,3710
ENSG00000233910,1,0,1,0
ENSG00000287703,1,0,0,0
ENSG00000283039,0,0,0,0
ENSG00000229032,1,0,0,0
ENSG00000229294,0,3,0,1
ENSG00000232993,0,0,0,0
ENSG00000234088,0,0,0,0
ENSG00000236973,0,0,0,0
ENSG00000277397,0,1,0,0
ENSG00000271200,6,2,6,6
ENSG00000235446,0,1,0,0
ENSG00000261196,0,0,0,0
ENSG00000162385,420,373,443,487
ENSG00000234264,1,0,0,0
ENSG00000242391,0,0,1,0
ENSG00000223883,1,0,0,1
ENSG00000284808,1,0,0,0
ENSG00000237227,1,0,0,4
ENSG00000275350,0,0,0,0
ENSG00000116652,73,86,34,68
ENSG00000123080,131,83,15,81
ENSG00000285778,45,3,0,22
ENSG00000233407,0,0,0,0
ENSG00000225675,3,4,0,8
ENSG00000237622,0,0,0,0
ENSG00000162598,0,1,0,0
ENSG00000280317,0,0,0,0
ENSG00000162415,631,1386,99,839
ENSG00000162600,86,59,65,80
ENSG00000116704,606,520,712,633
ENSG00000227644,0,0,0,0
ENSG00000157193,1707,2048,296,2072
ENSG00000116205,675,769,609,691
ENSG00000198841,32,52,67,44
ENSG00000116212,1295,817,1536,1193
ENSG00000234204,0,0,0,0
ENSG00000233099,1,0,0,1
ENSG00000233994,6,6,5,5
ENSG00000233973,0,0,0,9
ENSG00000237552,0,0,0,0
ENSG00000132854,696,392,5462,2361
ENSG00000227556,0,0,0,0
ENSG00000162607,1953,1187,1135,1905
ENSG00000233602,15,8,9,15
ENSG00000233271,0,0,0,0
ENSG00000285954,0,0,0,0
ENSG00000233333,0,0,0,0
ENSG00000154027,157,150,130,375
ENSG00000234108,0,0,0,0
ENSG00000232676,0,0,0,2
ENSG00000225167,0,0,0,0
ENSG00000213579,0,1,0,0
ENSG00000137960,3,3,15,15
ENSG00000237852,0,0,0,1
ENSG00000116745,369,17,163,843
ENSG00000132855,4,11,3,4
ENSG00000285407,0,1,0,0
ENSG00000272855,7,3,2,5
ENSG00000270549,0,0,0,0
ENSG00000237163,0,0,0,0
ENSG00000229636,0,1,0,0
ENSG00000116675,1151,982,102,1342
ENSG00000162433,325,307,467,509
ENSG00000213625,1408,1454,2502,2233
ENSG00000227207,0,1,0,0
ENSG00000227016,0,0,0,1
ENSG00000233664,0,0,0,0
ENSG00000158966,6623,4222,4523,6027
ENSG00000213703,0,0,0,3
ENSG00000203965,443,440,267,497
ENSG00000223479,8,1,0,0
ENSG00000233674,0,0,0,1
ENSG00000153898,5,1,1,1
ENSG00000117069,808,387,264,782
ENSG00000125703,350,260,318,326
ENSG00000285041,0,2,0,0
ENSG00000285808,0,1,0,1
ENSG00000229440,0,0,0,0
ENSG00000234144,3,2,1,1
ENSG00000213540,0,1,1,1
ENSG00000277670,0,0,0,0
ENSG00000227466,0,0,0,0
ENSG00000154007,0,0,1,0
ENSG00000230498,18,7,0,8
ENSG00000285782,1,0,0,1
ENSG00000162618,16,7,177,29
ENSG00000224493,0,0,0,2
ENSG00000131233,0,1,0,0
ENSG00000272371,4,3,14,4
ENSG00000287647,2,0,0,2
ENSG00000229225,0,0,0,0
ENSG00000230863,1,0,2,2
ENSG00000287224,0,0,0,0
ENSG00000225598,0,0,0,0
ENSG00000286455,0,0,0,0
ENSG00000225087,3,1,0,0
ENSG00000280378,17,20,20,21
ENSG00000188786,670,642,515,744
ENSG00000230053,0,0,0,0
ENSG00000137941,1394,1347,513,1221
ENSG00000224326,0,0,0,0
ENSG00000286548,8,5,3,11
ENSG00000066135,752,926,966,953
ENSG00000230027,0,1,0,0
ENSG00000233061,2,0,0,1
ENSG00000272094,1,3,0,3
ENSG00000228853,0,0,0,1
ENSG00000215874,0,0,0,0
ENSG00000232453,6,3,11,4
ENSG00000260386,0,0,1,0
ENSG00000284895,0,0,0,0
ENSG00000117174,516,604,1116,673
ENSG00000237413,0,0,4,0
ENSG00000184313,4,3,32,10
ENSG00000284645,6,3,0,6
ENSG00000225605,0,0,0,0
ENSG00000225446,6,18,2,7
ENSG00000288543,3,9,0,10
ENSG00000122420,66,69,101,260
ENSG00000284240,0,0,0,0
ENSG00000236290,7,2,6,9
ENSG00000143013,1053,1022,1341,1575
ENSG00000226084,28,42,31,33
ENSG00000134748,1739,1707,1637,1750
ENSG00000142892,621,467,837,888
ENSG00000219102,21,13,41,22
ENSG00000184005,1576,1096,1220,1941
ENSG00000230953,3,5,46,10
ENSG00000287743,8,4,5,4
ENSG00000229332,0,0,0,3
ENSG00000227937,0,0,0,0
ENSG00000229752,0,0,1,1
ENSG00000237505,1,6,11,9
ENSG00000285462,0,0,0,1
ENSG00000233216,0,0,0,0
ENSG00000197273,1,0,0,0
ENSG00000226804,0,0,0,0
ENSG00000230728,0,0,1,0
ENSG00000232846,1,0,0,0
ENSG00000230787,0,0,1,4
ENSG00000116641,3590,3701,2685,3802
ENSG00000223920,0,1,0,0
ENSG00000237453,0,0,0,0
ENSG00000172260,1504,684,114,1182
ENSG00000285473,0,0,0,1
ENSG00000237959,0,0,0,0
ENSG00000231364,0,0,0,0
ENSG00000234578,0,0,0,1
ENSG00000117480,267,296,367,313
ENSG00000137944,823,697,750,686
ENSG00000229505,0,0,0,0
ENSG00000228187,1,0,3,0
ENSG00000285201,0,0,0,0
ENSG00000182183,2,7,13,16
ENSG00000236407,0,0,0,0
ENSG00000271949,0,0,0,0
ENSG00000227062,0,0,0,0
ENSG00000067334,1125,1042,981,1082
ENSG00000235011,0,0,0,0
ENSG00000235673,0,0,0,0
ENSG00000226938,0,0,0,0
ENSG00000213559,0,0,0,0
ENSG00000287587,1,0,0,1
ENSG00000142949,6972,7670,4231,8425
ENSG00000116133,5889,5113,1492,8598
ENSG00000232882,2,3,0,2
ENSG00000171502,784,215,1283,470
ENSG00000162399,2,0,5,2
ENSG00000116157,477,271,1695,915
ENSG00000143036,159,130,289,148
ENSG00000232672,0,0,0,0
ENSG00000230817,0,0,0,0
ENSG00000065243,1801,1516,2014,1910
ENSG00000226759,1,1,0,0
ENSG00000226960,0,0,0,0
ENSG00000234080,0,0,0,1
ENSG00000237899,3,7,3,11
ENSG00000223905,0,0,0,0
ENSG00000227290,0,0,1,0
ENSG00000229486,0,0,0,0
ENSG00000282898,0,0,0,0
ENSG00000285409,0,0,0,0
ENSG00000231090,1,0,1,0
ENSG00000117528,1704,1343,1519,1787
ENSG00000271723,1,1,6,1
ENSG00000172339,123,142,164,141
ENSG00000036549,1207,1413,1263,1458
ENSG00000287724,2,3,1,1
ENSG00000058799,742,781,654,772
ENSG00000225191,0,0,0,0
ENSG00000287870,15,12,15,7
ENSG00000235563,0,0,0,1
ENSG00000232048,0,0,0,0
ENSG00000232857,0,0,0,0
ENSG00000273637,0,0,0,0
ENSG00000203985,0,0,0,0
ENSG00000228838,3,0,0,3
ENSG00000283761,5,6,4,5
ENSG00000189433,2,0,0,0
ENSG00000230759,0,0,0,0
ENSG00000231866,0,1,0,1
ENSG00000179178,5,0,12,5
ENSG00000142700,261,24,25,283
ENSG00000285525,1,1,0,0
ENSG00000236098,1,0,0,0
ENSG00000233514,3,5,2,1
ENSG00000127124,245,205,87,305
ENSG00000266993,35,24,24,40
ENSG00000223675,0,0,0,0
ENSG00000162604,537,476,628,788
ENSG00000229316,0,0,0,0
ENSG00000116171,1639,1267,1376,1784
ENSG00000287406,0,4,2,1
ENSG00000225767,2,0,5,5
ENSG00000234099,0,0,0,0
ENSG00000137936,443,206,247,416
ENSG00000235308,6,4,9,2
ENSG00000232752,0,0,0,0
ENSG00000235829,0,0,2,0
ENSG00000143032,103,174,4,40
ENSG00000226745,0,0,0,0
ENSG00000178028,1050,1128,1385,1313
ENSG00000280040,0,1,0,0
ENSG00000168710,3902,4436,3496,4520
ENSG00000117519,7703,6675,14034,7735
ENSG00000270507,0,0,0,0
ENSG00000238037,0,0,0,0
ENSG00000215869,0,2,0,0
ENSG00000134215,166,317,66,346
ENSG00000227935,1,0,2,2
ENSG00000228502,33,50,147,68
ENSG00000236268,0,3,0,2
ENSG00000271277,0,0,0,0
ENSG00000236888,1,0,0,1
ENSG00000279778,0,2,14,6
ENSG00000230955,0,0,0,0
ENSG00000230828,0,0,0,0
ENSG00000188641,164,127,763,280
ENSG00000152078,201,46,391,179
ENSG00000237279,0,0,0,0
ENSG00000233359,0,0,0,1
ENSG00000237954,0,1,0,1
ENSG00000185668,1657,722,2,375
ENSG00000171492,1258,1126,662,945
ENSG00000233129,0,0,0,0
ENSG00000170989,273,279,528,269
ENSG00000258634,284,423,481,423
ENSG00000233557,0,0,0,0
ENSG00000237897,2,0,0,3
ENSG00000116299,507,532,36,344
ENSG00000137962,2147,1167,1263,3071
ENSG00000227832,0,0,0,0
ENSG00000286692,0,0,0,1
ENSG00000260464,28,37,37,97
ENSG00000237435,0,1,0,0
ENSG00000231996,0,0,0,0
ENSG00000273204,8,1,3,4
ENSG00000079739,457,334,2435,1073
ENSG00000117154,133,26,13,109
ENSG00000162377,521,510,735,554
ENSG00000224613,2,2,8,4
ENSG00000215871,0,0,0,0
ENSG00000287372,0,1,1,0
ENSG00000232542,0,0,0,0
ENSG00000116774,304,223,3473,1396
ENSG00000287756,5,1,1,2
ENSG00000284652,8,6,4,7
ENSG00000023909,313,168,294,343
ENSG00000069702,254,531,1137,2900
ENSG00000232185,0,0,0,2
ENSG00000230489,0,0,0,0
ENSG00000228399,3,5,10,1
ENSG00000236776,0,0,4,1
ENSG00000224685,0,0,0,0
ENSG00000287076,2,6,0,4
ENSG00000237480,0,1,0,0
ENSG00000271252,1,1,0,2
ENSG00000230427,0,0,1,0
ENSG00000235794,0,0,0,0
ENSG00000286758,0,2,3,2
ENSG00000237337,0,1,0,0
ENSG00000233983,0,0,0,0
ENSG00000198198,1558,1333,2583,1844
ENSG00000225183,1,0,0,1
ENSG00000230402,0,0,0,0
ENSG00000116793,1659,1445,640,1177
ENSG00000238122,0,0,0,0
ENSG00000260879,0,0,0,0
ENSG00000283354,0,0,0,0
ENSG00000232918,0,0,0,0
ENSG00000236360,1,0,0,0
ENSG00000183298,3,3,4,3
ENSG00000234332,1,1,0,0
ENSG00000117525,82,171,177,108
ENSG00000225079,0,0,0,0
ENSG00000226483,0,0,0,0
ENSG00000224238,2,2,1,1
ENSG00000229537,0,0,0,0
ENSG00000162699,0,0,0,0
ENSG00000162692,264,120,2011,639
ENSG00000203914,1,0,2,2
ENSG00000270457,0,1,3,1
ENSG00000203858,0,0,0,0
ENSG00000231987,0,0,0,0
ENSG00000228057,6,6,18,12
ENSG00000261593,0,0,0,0
ENSG00000224445,3,5,0,1
ENSG00000229842,0,0,0,0
ENSG00000270631,0,0,0,0
ENSG00000229201,0,0,0,0
ENSG00000181656,14,10,16,28
ENSG00000122481,81,115,165,130
ENSG00000198162,1607,1538,1670,2271
ENSG00000238198,9,7,12,15
ENSG00000171517,9,10,136,25
ENSG00000228852,27,23,54,37
ENSG00000203864,0,0,0,0
ENSG00000233482,0,0,1,1
ENSG00000230250,0,0,0,0
ENSG00000232878,1,1,2,0
ENSG00000143079,1961,2045,1822,2346
ENSG00000232450,43,48,24,60
ENSG00000223575,0,0,0,0
ENSG00000230768,0,0,0,0
ENSG00000235202,0,0,0,0
ENSG00000272715,3,3,0,2
ENSG00000235038,1,1,0,1
ENSG00000143093,2225,2525,2353,2704
ENSG00000226415,24,24,25,24
ENSG00000085491,681,1220,2175,1627
ENSG00000173947,261,49,66,178
ENSG00000230434,0,0,0,0
ENSG00000230718,1,0,0,0
ENSG00000134198,363,104,348,366
ENSG00000235595,0,0,2,0
ENSG00000226053,9,1,8,5
ENSG00000226128,0,0,0,0
ENSG00000198799,969,1166,1405,1228
ENSG00000279513,13,9,6,16
ENSG00000117620,702,539,616,622
ENSG00000280186,5,6,4,11
ENSG00000223906,0,0,0,1
ENSG00000162688,1204,954,825,1027
ENSG00000197106,428,327,25,213
ENSG00000259946,17,15,19,17
ENSG00000236137,2,3,0,5
ENSG00000203859,1,2,0,0
ENSG00000228086,1,0,0,1
ENSG00000213421,0,0,0,0
ENSG00000234020,4,0,0,3
ENSG00000236804,0,0,1,0
ENSG00000231072,0,0,0,0
ENSG00000273406,0,0,0,0
ENSG00000185946,855,1021,875,949
ENSG00000162627,525,268,875,367
ENSG00000226715,0,2,0,1
ENSG00000162695,708,629,1585,958
ENSG00000265808,1414,1456,3122,2401
ENSG00000261290,0,0,0,0
ENSG00000225923,0,0,0,0
ENSG00000134247,3054,1412,10928,6674
ENSG00000187481,0,0,0,2
ENSG00000116752,890,969,639,887
ENSG00000162664,2335,2035,2740,2368
ENSG00000236866,0,0,0,1
ENSG00000134253,553,557,517,486
ENSG00000223416,0,0,3,0
ENSG00000179571,0,1,0,2
ENSG00000227850,0,0,1,1
ENSG00000235777,1,0,0,0
ENSG00000173218,461,153,942,805
ENSG00000285532,11,12,0,12
ENSG00000226755,1,0,0,0
ENSG00000232650,0,0,0,1
ENSG00000183508,32,25,21,73
ENSG00000277095,0,0,0,0
ENSG00000234283,7,1,4,3
ENSG00000232780,1,0,0,0
ENSG00000274927,0,2,0,7
ENSG00000264145,0,0,0,0
ENSG00000238256,0,0,0,0
ENSG00000198765,0,1,2,0
ENSG00000224335,0,0,0,0
ENSG00000277702,3,3,8,15
ENSG00000143398,1913,1993,2496,2497
ENSG00000196505,510,520,449,482
ENSG00000223489,0,0,1,0
ENSG00000230546,0,0,0,0
ENSG00000213262,0,0,0,0
ENSG00000287015,0,1,0,0
ENSG00000235526,4,0,0,2
ENSG00000228347,2,0,4,0
ENSG00000236012,0,0,0,0
ENSG00000270911,0,1,1,0
ENSG00000134200,5,1,0,2
ENSG00000065183,889,895,922,1146
ENSG00000227082,120,28,16,66
ENSG00000226126,2,0,0,0
ENSG00000163393,444,587,398,470
ENSG00000163156,400,373,465,441
ENSG00000143631,3,5,59,8
ENSG00000156150,0,1,1,3
ENSG00000228453,0,0,1,0
ENSG00000274642,8,7,0,13
ENSG00000177551,801,2314,14,502
ENSG00000197323,3183,3393,2484,3578
ENSG00000237975,2,8,119,4
ENSG00000261168,182,234,85,178
ENSG00000287980,1,0,0,0
ENSG00000229283,0,0,0,0
ENSG00000271419,0,0,0,0
ENSG00000226172,0,0,0,0
ENSG00000079335,202,266,191,220
ENSG00000143119,2,3,0,1
ENSG00000237278,0,0,0,0
ENSG00000233432,3,1,0,0
ENSG00000227700,0,0,1,0
ENSG00000229911,0,0,0,0
ENSG00000143520,0,0,6,0
ENSG00000171943,583,353,252,436
ENSG00000270719,0,0,0,0
ENSG00000155761,121,46,161,121
ENSG00000230806,0,1,0,0
ENSG00000116830,646,383,323,471
ENSG00000234422,0,0,0,1
ENSG00000227056,1,1,3,1
ENSG00000227091,0,0,0,0
ENSG00000214204,0,4,3,4
ENSG00000081026,1216,1702,578,1377
ENSG00000225650,0,0,0,0
ENSG00000224965,1,3,1,2
ENSG00000228127,29,39,6,27
ENSG00000226984,0,0,0,0
ENSG00000186150,0,3,0,3
ENSG00000143458,261,275,473,387
ENSG00000230932,0,0,0,0
ENSG00000073754,0,0,0,0
ENSG00000228826,0,0,0,0
ENSG00000233907,0,0,0,0
ENSG00000225036,0,0,0,0
ENSG00000228420,1,0,0,0
ENSG00000233839,0,0,0,0
ENSG00000250890,0,0,0,0
ENSG00000232240,0,0,0,0
ENSG00000230921,0,0,0,0
ENSG00000286151,0,0,0,1
ENSG00000234388,0,0,0,0
ENSG00000271736,0,0,0,0
ENSG00000233717,0,0,0,0
ENSG00000163155,315,363,386,380
ENSG00000241975,20,21,20,19
ENSG00000271143,4,7,0,2
ENSG00000270976,0,0,0,0
ENSG00000228217,3,2,2,2
ENSG00000270342,0,0,0,0
ENSG00000175984,122,27,281,131
ENSG00000231100,0,0,0,0
ENSG00000116824,0,0,1,0
ENSG00000235887,0,0,0,3
ENSG00000237460,0,0,0,0
ENSG00000236887,0,0,0,0
ENSG00000024526,575,327,189,416
ENSG00000236480,0,6,1,3
ENSG00000235756,0,0,0,0
ENSG00000173810,0,0,0,0
ENSG00000235005,0,0,0,0
ENSG00000271890,0,0,0,0
ENSG00000227425,0,0,0,0
ENSG00000225279,7,10,3,8
ENSG00000229101,0,0,0,4
ENSG00000239216,0,0,0,0
ENSG00000283360,3,2,0,2
ENSG00000117262,106,108,80,124
ENSG00000227907,0,0,0,0
ENSG00000227970,0,0,0,0
ENSG00000261055,0,0,0,0
ENSG00000231613,1,1,0,2
ENSG00000137947,501,534,545,559
ENSG00000236689,0,0,0,0
ENSG00000233589,15,4,4,6
ENSG00000117586,18,18,23,21
ENSG00000230946,1,0,0,1
ENSG00000226028,0,0,0,0
ENSG00000162728,214,233,5,232
ENSG00000229021,0,0,4,1
ENSG00000203825,0,0,0,0
ENSG00000184371,696,358,616,1051
ENSG00000233449,0,0,0,0
ENSG00000242943,0,0,0,0
ENSG00000233203,0,0,2,0
ENSG00000232499,6,7,8,1
ENSG00000232265,2,0,3,0
ENSG00000163154,7,1,6,3
ENSG00000232995,31,26,31,27
ENSG00000238087,1,0,0,0
ENSG00000227777,0,0,0,0
ENSG00000177173,9,5,1,12
ENSG00000238022,1,1,2,3
ENSG00000231671,7,1,3,3
ENSG00000162729,1549,1636,953,1783
ENSG00000143158,366,343,274,382
ENSG00000271092,22,17,20,23
ENSG00000238118,0,0,0,0
ENSG00000276118,0,0,0,0
